num_execve,num_distinct_children,num_file_opens,num_file_renames,num_file_deletes,num_distinct_files_touched,num_connect,num_distinct_dest_ips,num_setuid,syscall_rate
2,0,15,0,0,15,0,0,0,5426.041616462483
10,0,38,0,0,40,0,0,0,10766.66988919078
10,0,145,0,0,139,0,0,0,5077.972430475514
10,0,33,0,0,33,0,0,0,10200.50153256605
10,0,12,0,0,16,0,0,0,5543.931499182396
0,4,10,0,1,9,0,0,0,64.92362818188562
0,8,1,0,0,1,0,0,0,1000.0
0,0,1,0,0,1,0,0,0,1000.0
0,2,86,0,0,34,0,0,0,17.729674164596585
0,0,26,0,0,10,0,0,0,6.490380838590241
0,0,8,2,0,3,0,0,0,1.9999710112201807
0,0,6,0,0,1,0,0,0,1.1999826710502473
0,0,6,0,0,1,0,0,0,1.1999774464238944
0,0,6,0,0,1,0,0,0,1.1999819299521095
0,0,12,0,0,2,0,0,0,2.389919931936514
0,0,2,0,0,2,5,1,0,1.3942024172628131
0,3,202,0,0,9,0,0,0,40.34404208743197
0,0,83,1,0,14,0,0,0,16.797696209403036
